Date,Time,Produced,Demand,Depriciation
11-04-2021,13:00:00,11503,11503,0.00
11-04-2021,12:00:00,11266,11266,0.00
11-04-2021,11:00:00,10770,10770,0.00
11-04-2021,10:00:00,10483,10483,0.00
11-04-2021,09:00:00,10067,10067,0.00
11-04-2021,08:00:00,9850,9850,0.00
11-04-2021,07:00:00,9843,9843,0.00
11-04-2021,06:00:00,9879,9879,0.00
11-04-2021,05:00:00,10370,10370,0.00
11-04-2021,04:00:00,10553,10553,0.00
11-04-2021,03:00:00,10892,10892,0.00
11-04-2021,02:00:00,11082,11082,0.00
11-04-2021,01:00:00,11730,11730,0.00
10-04-2021,24:00:00,12237,12237,0.00
10-04-2021,23:00:00,12577,12577,0.00
10-04-2021,22:00:00,12935,12935,0.00
10-04-2021,21:00:00,13064.2,13064,0.00
10-04-2021,20:00:00,13056,13056,0.00
10-04-2021,19:30:00,13050,13050,0.00
10-04-2021,19:00:00,12750,12750,0.00
10-04-2021,18:00:00,10460,10460,0.00
10-04-2021,17:00:00,10473,10473,0.00
10-04-2021,16:00:00,10587,10587,0.00
10-04-2021,15:00:00,10340,10340,0.00
10-04-2021,14:00:00,10012,10012,0.00
10-04-2021,13:00:00,9880,9880,0.00
10-04-2021,12:00:00,9536,9536,0.00
10-04-2021,11:00:00,9098,9098,0.00
10-04-2021,10:00:00,8664,8664,0.00
10-04-2021,09:00:00,8722,8722,0.00
10-04-2021,08:00:00,8974,8974,0.00
10-04-2021,07:00:00,9158,9158,0.00
10-04-2021,06:00:00,9077,9077,0.00
10-04-2021,05:00:00,9348,9348,0.00
10-04-2021,04:00:00,9564,9564,0.00
10-04-2021,03:00:00,9729,9729,0.00
10-04-2021,02:00:00,10018,10018,0.00
10-04-2021,01:00:00,10480,10480,0.00
09-04-2021,24:00:00,10953,10953,0.00
09-04-2021,23:00:00,11149,11149,0.00
09-04-2021,22:00:00,11313,11313,0.00
09-04-2021,21:00:00,11655,11655,0.00
09-04-2021,20:00:00,11451,11451,0.00
09-04-2021,19:30:00,11440,11440,0.00
09-04-2021,19:00:00,10566,10566,0.00
09-04-2021,18:00:00,8908,8908,0.00
09-04-2021,17:00:00,9316,9316,0.00
09-04-2021,16:00:00,9558,9558,0.00
09-04-2021,15:00:00,9659,9659,0.00
09-04-2021,14:00:00,9380,9380,0.00
09-04-2021,13:00:00,9285,9285,0.00
09-04-2021,12:00:00,8629,8629,0.00
09-04-2021,11:00:00,8233,8233,0.00
09-04-2021,10:00:00,7852,7852,0.00
09-04-2021,09:00:00,7567,7567,0.00
09-04-2021,08:00:00,7359,7359,0.00
09-04-2021,07:00:00,7301,7301,0.00
09-04-2021,06:00:00,7486,7486,0.00
09-04-2021,05:00:00,7611,7611,0.00
09-04-2021,04:00:00,7553,7553,0.00
09-04-2021,03:00:00,7767,7767,0.00
09-04-2021,02:00:00,8659,8659,0.00
09-04-2021,01:00:00,9457,9457,0.00
08-04-2021,24:00:00,10564,10564,0.00
08-04-2021,23:00:00,11925,11925,0.00
08-04-2021,22:00:00,12226,12226,0.00
08-04-2021,21:00:00,12553,12553,0.00
08-04-2021,20:00:00,12854,12854,0.00
08-04-2021,19:30:00,12720,12720,0.00
08-04-2021,19:00:00,12369,12369,0.00
08-04-2021,18:00:00,10217,10217,0.00
02-04-2021,14:00:00,9716,9716,0.00
02-04-2021,13:00:00,10243,10243,0.00
02-04-2021,12:00:00,9745,9745,0.00
02-04-2021,11:00:00,9450,9450,0.00
02-04-2021,10:00:00,9209,9209,0.00
02-04-2021,09:00:00,9352,9352,0.00
02-04-2021,08:00:00,9558,9558,0.00
02-04-2021,07:00:00,9661,9661,0.00
02-04-2021,06:00:00,10050,10050,0.00
02-04-2021,05:00:00,10293,10293,0.00
02-04-2021,04:00:00,10484,10484,0.00
02-04-2021,03:00:00,10783,10783,0.00
02-04-2021,02:00:00,11162,11162,0.00
02-04-2021,01:00:00,11419,11419,0.00
01-04-2021,24:00:00,12054,12054,0.00
01-04-2021,23:00:00,12607,12607,0.00
01-04-2021,22:00:00,12686,12686,0.00
01-04-2021,21:00:00,12749,12749,0.00
01-04-2021,20:00:00,12831,12831,0.00
01-04-2021,19:30:00,12893,12893,0.00
01-04-2021,19:00:00,12687,12687,0.00
01-04-2021,18:00:00,10970,10970,0.00
01-04-2021,17:00:00,11185,11185,0.00
01-04-2021,16:00:00,11536,11536,0.00
01-04-2021,15:00:00,11527,11527,0.00
01-04-2021,14:00:00,11141,11141,0.00
01-04-2021,13:00:00,11264,11264,0.00
01-04-2021,12:00:00,11079,11079,0.00
01-04-2021,11:00:00,10751,10751,0.00
01-04-2021,10:00:00,10300,10300,0.00
01-04-2021,09:00:00,9631,9631,0.00
01-04-2021,08:00:00,9266,9266,0.00
01-04-2021,07:00:00,9615,9615,0.00
01-04-2021,06:00:00,9612,9612,0.00
01-04-2021,05:00:00,9778,9778,0.00
01-04-2021,04:00:00,10071,10071,0.00
01-04-2021,03:00:00,10347,10347,0.00
01-04-2021,02:00:00,10695,10695,0.00
01-04-2021,01:00:00,11003,11003,0.00
31-03-2021,24:00:00,11370,11370,0.00
31-03-2021,23:00:00,11609,11609,0.00
31-03-2021,22:00:00,12129,12129,0.00
31-03-2021,21:00:00,12290,12290,0.00
31-03-2021,20:00:00,12303,12303,0.00
31-03-2021,19:30:00,12403,12403,0.00
31-03-2021,19:00:00,12109,12109,0.00
31-03-2021,18:00:00,10644,10644,0.00
31-03-2021,17:00:00,10856,10856,0.00
31-03-2021,16:00:00,10792,10792,0.00
31-03-2021,15:00:00,10512,10512,0.00
31-03-2021,14:00:00,10379,10379,0.00
06-04-2021,16:00:00,10527,10527,0.00
06-04-2021,15:00:00,10497,10497,0.00
06-04-2021,14:00:00,10275,10275,0.00
06-04-2021,13:00:00,10337,10337,0.00
06-04-2021,12:00:00,9994,9994,0.00
06-04-2021,11:00:00,9672,9672,0.00
06-04-2021,10:00:00,9460,9460,0.00
06-04-2021,09:00:00,9078,9078,0.00
06-04-2021,08:00:00,8734,8734,0.00
06-04-2021,07:00:00,8283,8283,0.00
06-04-2021,06:00:00,8101,8101,0.00
06-04-2021,05:00:00,8199,8199,0.00
06-04-2021,04:00:00,8454,8454,0.00
06-04-2021,03:00:00,8667,8667,0.00
06-04-2021,02:00:00,8917,8917,0.00
06-04-2021,01:00:00,9431,9431,0.00
05-04-2021,24:00:00,10008,10008,0.00
05-04-2021,23:00:00,10330,10330,0.00
05-04-2021,22:00:00,10949,10949,0.00
05-04-2021,21:00:00,11173,11173,0.00
05-04-2021,20:00:00,11340,11340,0.00
05-04-2021,19:30:00,11347,11347,0.00
05-04-2021,19:00:00,11040,11040,0.00
05-04-2021,18:00:00,9449,9449,0.00
05-04-2021,17:00:00,9688,9688,0.00
05-04-2021,16:00:00,9988,9988,0.00
05-04-2021,15:00:00,10067,10067,0.00
05-04-2021,14:00:00,9746,9746,0.00
05-04-2021,13:00:00,9294,9294,0.00
05-04-2021,12:00:00,8996,8996,0.00
05-04-2021,11:00:00,8571,8571,0.00
05-04-2021,10:00:00,7968,7968,0.00
05-04-2021,09:00:00,7491,7491,0.00
05-04-2021,08:00:00,7088,7088,0.00
05-04-2021,07:00:00,6860,6860,0.00
05-04-2021,06:00:00,6383,6383,0.00
05-04-2021,05:00:00,6390,6390,0.00
05-04-2021,04:00:00,6466,6466,0.00
05-04-2021,03:00:00,6557,6557,0.00
05-04-2021,02:00:00,6687,6687,0.00
05-04-2021,01:00:00,6553,6553,0.00
04-04-2021,24:00:00,6277,6277,0.00
04-04-2021,23:00:00,5461,5461,0.00
04-04-2021,22:00:00,4191,4191,0.00
04-04-2021,21:00:00,4249,4249,0.00
04-04-2021,20:00:00,4304,4304,0.00
04-04-2021,19:30:00,4576,4576,0.00
04-04-2021,19:00:00,5767,5767,0.00
04-04-2021,18:00:00,8524,8524,0.00
04-04-2021,17:00:00,9783.9,9784,0.00
04-04-2021,16:00:00,10768.9,10769,0.00
29-03-2021,12:00:00,11016,11016,0.00
29-03-2021,11:00:00,10351,10351,0.00
29-03-2021,10:00:00,10044,10044,0.00
29-03-2021,09:00:00,9631,9631,0.00
29-03-2021,08:00:00,9277,9277,0.00
29-03-2021,07:00:00,9206,9206,0.00
29-03-2021,06:00:00,9339,9339,0.00
29-03-2021,05:00:00,9429,9429,0.00
29-03-2021,04:00:00,9595,9595,0.00
29-03-2021,03:00:00,9930,9930,0.00
29-03-2021,02:00:00,10095,10095,0.00
29-03-2021,01:00:00,10607,10607,0.00
28-03-2021,24:00:00,11130,11130,0.00
28-03-2021,23:00:00,11583,11583,0.00
28-03-2021,22:00:00,11934,11934,0.00
28-03-2021,21:00:00,12281,12281,0.00
28-03-2021,20:00:00,12459,12459,0.00
28-03-2021,19:30:00,12634,12634,0.00
28-03-2021,19:00:00,12548,12548,0.00
28-03-2021,18:00:00,10592,10592,0.00
28-03-2021,17:00:00,10601,10601,0.00
28-03-2021,16:00:00,11056,11056,0.00
28-03-2021,15:00:00,11082,11082,0.00
28-03-2021,14:00:00,10935,10935,0.00
28-03-2021,13:00:00,11037,11037,0.00
28-03-2021,12:00:00,10542,10542,0.00
28-03-2021,11:00:00,10338,10338,0.00
28-03-2021,10:00:00,10196,10196,0.00
28-03-2021,09:00:00,9799,9799,0.00
28-03-2021,08:00:00,9362,9362,0.00
28-03-2021,07:00:00,9170,9170,0.00
28-03-2021,06:00:00,9015,9015,0.00
28-03-2021,05:00:00,9021,9021,0.00
28-03-2021,04:00:00,9399,9399,0.00
28-03-2021,03:00:00,9597,9597,0.00
28-03-2021,02:00:00,9990,9990,0.00
28-03-2021,01:00:00,10435,10435,0.00
27-03-2021,24:00:00,10994,10994,0.00
27-03-2021,23:00:00,11328,11328,0.00
27-03-2021,22:00:00,11768,11768,0.00
27-03-2021,21:00:00,12062,12062,0.00
27-03-2021,20:00:00,12361,12361,0.00
